Attribute\Turn,Turn 0,Turn 1,Turn 2,Turn 3,Turn 4,Turn 5,Turn 6,Turn 7,Turn 8,Turn 9,Turn 10
Name,Super Saiyan Goku,,,,,,,,,,
Class,Super,,,,,,,,,,
Type,TEQ,,,,,,,,,,
EZA,0,,,,,,,,,,
JP Release,1/08/22,,,,,,,,,,
GLB Release,1/08/22,,,,,,,,,,
Att,15530,,,,,,,,,,
Def,9231,,,,,,,,,,
Leader Skill,0.75,,,,,,,,,,
Teams,12,,,,,,,,,,
SBR,0,,,,,,,,,,
kiMod 12,1.45,,,,,,,,,,
kiMod 24,2,,,,,,,,,,
stackAtt,0,,,,,,,,,,
stackDef,1,,,,,,,,,,
counterMod,0,,,,,,,,,,
avgSupersPerTurn,1,,,,,,,,,,
P1 Att,1,1.59,,,,,,,,,
P1 Def,1,1.59,,,,,,,,,
P2 Att,2,0.2,0.59,,,,,,,,
P2A Def,1,0.4425,,,,,,,,,
P2B Def,1,0,,,,,,,,,
P3 Att,1,0,,,,,,,,,
P3 Def,1,0,,,,,,,,,
SA 12 Att,1,0.5,,,,,,,,,
SA 12 Def,1,0,,,,,,,,,
SA 18 Att,1,0,,,,,,,,,
SA 18 Def,1,0.3,,,,,,,,,
Link 1,1,Golden Warrior,,,,,,,,,
Link 2,1,Saiyan Warrior Race,,,,,,,,,
Link 3,1,Super Saiyan,,,,,,,,,
Link 4,1,Kamehameha,,,,,,,,,
Link 5,1,Prepared for Battle,,,,,,,,,
Link 6,1,Fierce Battle,,,,,,,,,
Link 7,1,Legendary Power,,,,,,,,,
kiHungry,1,1,,,,,,,,,
passiveKi,2,7,10,,,,,,,,
collectKi,1,0,,,,,,,,,
healing,1,0,,,,,,,,,
support,1,0,,,,,,,,,
special,3,0.025,0.733333333,0.241666667,,,,,,,
P guard,1,1,,,,,,,,,
dmg red,1,0,,,,,,,,,
P dodge,1,0,,,,,,,,,
P dodgeSA,1,0,,,,,,,,,
P nullify,1,0,,,,,,,,,
AA P super,1,0,,,,,,,,,
"AA PP guarantee	",1,0,,,,,,,,,
passiveCrit,3,0,0.016666667,0.483333333,,,,,,,
P_SEaaT,1,0,,,,,,,,,
