Attribute\Turn	Turn 0	Turn 1	Turn 2	Turn 3	Turn 4	Turn 5	Turn 6	Turn 7	Turn 8	Turn 9	Turn 10
Name	Super Saiyan Goku										
Class	Super										
Type	TEQ										
EZA	0										
JP Release	Aug-22										
GLB Release	Aug-22										
Att	15530										
Def	9231										
Leader Skill	0.75										
Teams	12										
SBR	0										
kiMod 12	1.45										
kiMod 24	2										
stackAtt											
stackDef											
counterMod											
avgSupersPerTurn											
P1 Att											
P1 Def											
P2 Att											
P2A Def											
P2B Def											
P3 Att											
P3 Def											
SA 12 Att											
SA 12 Def											
SA 18 Att											
SA 18 Def											
Link 1											
Link 2											
Link 3											
Link 4											
Link 5											
Link 6											
Link 7											
kiHungry											
passiveKi											
collectKi											
healing											
support											
special											
P guard											
dmg red											
P dodge											
P dodgeSA											
P nullify											
AA P super											
AA PP guarantee											
passiveKi											
P_SEaaT											
